Out of the Darkness,Joseph Fielding Smith,April 1971,https://media2.ldscdn.org/assets/general-conference/april-1971-general-conference/1971-04-1010-president-joseph-fielding-smith-64k-eng.mp3?download=true
Voices of the Past, of the Present, of the Future,Spencer W. Kimball,April 1971,https://media2.ldscdn.org/assets/general-conference/april-1971-general-conference/1971-04-1020-president-spencer-w-kimball-64k-eng.mp3?download=true
Love of the Right,Marvin J. Ashton,April 1971,https://media2.ldscdn.org/assets/general-conference/april-1971-general-conference/1971-04-1030-elder-marvin-j-ashton-64k-eng.mp3?download=true
Life Is Eternal,Ezra Taft Benson,April 1971,https://media2.ldscdn.org/assets/general-conference/april-1971-general-conference/1971-04-1040-elder-ezra-taft-benson-64k-eng.mp3?download=true
Satan—The Great Deceiver,Marion G. Romney,April 1971,https://media2.ldscdn.org/assets/general-conference/april-1971-general-conference/1971-04-2010-elder-marion-g-romney-64k-eng.mp3?download=true
Be Slow to Anger,ElRay L. Christiansen,April 1971,https://media2.ldscdn.org/assets/general-conference/april-1971-general-conference/1971-04-2020-elder-elray-l-christiansen-64k-eng.mp3?download=true
“When Thou Art Converted”,S. Dilworth Young,April 1971,https://media2.ldscdn.org/assets/general-conference/april-1971-general-conference/1971-04-2030-elder-s-dilworth-young-64k-eng.mp3?download=true
“Thou Shalt Not Commit Adultery”,Milton R. Hunter,April 1971,https://media2.ldscdn.org/assets/general-conference/april-1971-general-conference/1971-04-2040-elder-milton-r-hunter-64k-eng.mp3?download=true
Great Experiences,Sterling W. Sill,April 1971,https://media2.ldscdn.org/assets/general-conference/april-1971-general-conference/1971-04-2050-elder-sterling-w-sill-64k-eng.mp3?download=true
The Law of Abundance,Franklin D. Richards,April 1971,https://media2.ldscdn.org/assets/general-conference/april-1971-general-conference/1971-04-2060-elder-franklin-d-richards-64k-eng.mp3?download=true
Warnings from the Past,Mark E. Petersen,April 1971,https://media2.ldscdn.org/assets/general-conference/april-1971-general-conference/1971-04-2070-elder-mark-e-petersen-64k-eng.mp3?download=true
Our Responsibilities as Priesthood Holders,Joseph Fielding Smith,April 1971,https://media2.ldscdn.org/assets/general-conference/april-1971-general-conference/1971-04-3010-president-joseph-fielding-smith-64k-eng.mp3?download=true
Prepare Every Needful Thing,Howard W. Hunter,April 1971,https://media2.ldscdn.org/assets/general-conference/april-1971-general-conference/1971-04-3020-elder-howard-w-hunter-64k-eng.mp3?download=true
“Teach One Another”,David B. Haight,April 1971,https://media2.ldscdn.org/assets/general-conference/april-1971-general-conference/1971-04-3030-elder-david-b-haight-64k-eng.mp3?download=true
The Meaning of Morality,Victor L. Brown,April 1971,https://media2.ldscdn.org/assets/general-conference/april-1971-general-conference/1971-04-3040-bishop-victor-l-brown-64k-eng.mp3?download=true
Unchanging Principles of Leadership,Wendell J. Ashton,April 1971,https://media2.ldscdn.org/assets/general-conference/april-1971-general-conference/1971-04-3050-elder-wendell-j-ashton-64k-eng.mp3?download=true
Search for the Wanderers,N. Eldon Tanner,April 1971,https://media2.ldscdn.org/assets/general-conference/april-1971-general-conference/1971-04-3060-president-n-eldon-tanner-64k-eng.mp3?download=true
Today’s Young People,Harold B. Lee,April 1971,https://media2.ldscdn.org/assets/general-conference/april-1971-general-conference/1971-04-3070-president-harold-b-lee-64k-eng.mp3?download=true
“Choose You This Day”,N. Eldon Tanner,April 1971,https://media2.ldscdn.org/assets/general-conference/april-1971-general-conference/1971-04-4010-president-n-eldon-tanner-64k-eng.mp3?download=true
My Brother’s Keeper,John H. Vandenberg,April 1971,https://media2.ldscdn.org/assets/general-conference/april-1971-general-conference/1971-04-4020-bishop-john-h-vandenberg-64k-eng.mp3?download=true
The Message of the Restoration,A. Theodore Tuttle,April 1971,https://media2.ldscdn.org/assets/general-conference/april-1971-general-conference/1971-04-4030-elder-a-theodore-tuttle-64k-eng.mp3?download=true
“Except the Lord Build the House …”,Gordon B. Hinckley,April 1971,https://media2.ldscdn.org/assets/general-conference/april-1971-general-conference/1971-04-4040-elder-gordon-b-hinckley-64k-eng.mp3?download=true
Where Are You Really Going?,Richard L. Evans,April 1971,https://media2.ldscdn.org/assets/general-conference/april-1971-general-conference/1971-04-4050-elder-richard-l-evans-64k-eng.mp3?download=true
The Iron Rod,Harold B. Lee,April 1971,https://media2.ldscdn.org/assets/general-conference/april-1971-general-conference/1971-04-5010-president-harold-b-lee-64k-eng.mp3?download=true
Eternal Joy Is Eternal Growth,Joseph Anderson,April 1971,https://media2.ldscdn.org/assets/general-conference/april-1971-general-conference/1971-04-5020-elder-joseph-anderson-64k-eng.mp3?download=true
The Lord’s People Receive Revelation,Bruce R. McConkie,April 1971,https://media2.ldscdn.org/assets/general-conference/april-1971-general-conference/1971-04-5030-elder-bruce-r-mcconkie-64k-eng.mp3?download=true
